Timestamp,Alpha1,Alpha2,Beta1,Beta2,Delta,Gamma1,Gamma2,Theta,Meditation,Attention,Raw,Signal
146649,13982,2086,10225,4555,81820,2625,1956,23029,27,41,-43,100
147750,665,3819,5081,4566,53263,3493,7353,21007,27,54,45,100
148853,37016,59517,27404,25747,1159891,11284,11567,93707,23,66,-376,100
149979,60619,3286,22391,6595,240237,3807,1987,73252,23,61,179,100
151086,71499,20492,59969,29304,901321,7314,5538,309673,16,56,97,100
152189,8691,38553,20489,11242,402514,15412,9110,464501,13,27,38,100
153314,35612,26532,31989,26243,111712,12815,8489,137953,8,27,90,100
154420,5133,3371,5117,2574,101050,3124,2589,28278,1,35,92,100
155527,23333,1981,6307,7234,375782,2851,6861,128945,1,27,69,100
156733,110339,25384,39487,53260,458765,22418,14454,182213,14,56,-5,100
157939,30291,26613,31857,21498,575908,14905,17754,133066,16,61,-8,100
159119,11052,3512,9776,3240,315200,2292,2775,72491,16,57,178,100
160307,49266,42676,20382,17780,515792,41626,21597,44183,30,57,54,100
161504,3451,5185,9233,14690,83356,3566,2636,107545,13,54,-653,100
162690,16540,23159,11219,15856,272106,26338,6853,280846,21,50,21,100
163876,134616,21456,19210,15964,217294,10029,9211,339814,13,30,100,100
165068,10044,8185,7770,4236,308716,2645,3722,53578,27,23,82,100
166248,18824,4440,15353,4637,7074,7823,4561,37601,23,27,71,100
167435,4107,16567,7638,8045,15444,5698,4720,15922,40,47,-29,100
168637,4885,5003,3170,2286,10230,1589,1362,4815,53,80,-23,100
169829,11037,32261,12404,24715,171172,7174,12449,58528,54,93,28,100
171023,14057,37378,17154,15979,82069,13323,4754,116591,47,83,123,100
172212,25406,6372,7870,9488,168606,3331,3102,19263,54,83,40,100
173409,33176,7298,15955,11083,343568,1472,2131,72591,47,78,101,100
174592,40037,9625,27911,20877,115574,5801,4595,90446,57,80,102,100
175783,47167,22599,21958,11078,251459,18743,3499,269680,44,56,-732,100
176995,56647,21448,31666,46826,2129218,13865,13433,166535,43,64,66,100
178194,18383,29930,11945,25981,38291,7046,11119,37184,35,70,21,100
179419,220950,105229,19792,22966,843100,18563,8529,345468,43,53,-4,100
180614,54981,27838,13597,8101,822001,6647,3793,111083,54,53,8,100
181669,33098,48597,47681,20672,1241833,25309,12785,631590,38,24,-23,100
182722,5076,4412,12344,4337,20527,2019,1624,57570,17,30,16,100
183771,8049,11212,11731,9019,92549,19495,4412,13310,23,41,86,100
